Chr1	571825	575085	-
Chr1	4330189	4333508	+
Chr1	5915643	5916212	-
Chr1	7072115	7076619	-
Chr1	7704172	7706254	-
Chr1	8457318	8458946	+
Chr1	8459081	8461460	-
Chr1	8692629	8694705	+
Chr1	8927731	8933058	-
Chr1	9175554	9177598	+
Chr1	9562486	9564031	-
Chr1	11102551	11103644	+
Chr1	11302617	11310992	-
Chr1	11896541	11900191	-
Chr1	11900817	11901364	-
Chr1	12016349	12019244	-
Chr1	12139863	12142770	-
Chr1	12172926	12176080	-
Chr1	12407256	12409603	-
Chr1	12627466	12630119	+
Chr1	12665035	12667918	+
Chr1	12732196	12733110	-
Chr1	12860813	12861477	-
Chr1	12950298	12953252	+
Chr1	13000585	13005078	+
Chr1	13005672	13006187	-
Chr1	13006355	13007926	-
Chr1	13131866	13135931	+
Chr1	13136267	13139365	+
Chr1	13181449	13192075	-
Chr1	13418502	13421120	-
Chr1	13433672	13435077	-
Chr1	13446061	13448331	+
Chr1	13481019	13482785	-
Chr1	13486003	13486920	-
Chr1	13487656	13489700	-
Chr1	13501085	13502372	+
Chr1	13559974	13564586	+
Chr1	13573905	13576541	-
Chr1	13577211	13581061	-
Chr1	13614673	13616278	+
Chr1	13625929	13628292	-
Chr1	13628847	13633367	-
Chr1	13735377	13738286	-
Chr1	13738801	13742757	-
Chr1	13768836	13774806	+
Chr1	13774810	13776989	+
Chr1	13778495	13780230	+
Chr1	13795530	13797285	+
Chr1	13818975	13823475	+
Chr1	13838400	13847625	-
Chr1	13867567	13872682	+
Chr1	13916028	13916398	+
Chr1	13921686	13922100	-
Chr1	13941377	13942491	-
Chr1	13973877	13976516	-
Chr1	14071284	14076253	+
Chr1	14090929	14092085	+
Chr1	14099684	14100175	-
Chr1	14101592	14102348	-
Chr1	14111375	14113653	-
Chr1	14129824	14134798	-
Chr1	14179244	14183711	-
Chr1	14197637	14200137	+
Chr1	14215874	14217741	-
Chr1	14218096	14223712	-
Chr1	14238204	14239361	+
Chr1	14243164	14245015	+
Chr1	14245517	14246426	+
Chr1	14251988	14256141	+
